run,label,build_warmup_seconds,build_steady_seconds,build_total_seconds,query_warmup_seconds,query_steady_seconds,build_cpu_seconds,build_cpu_utilisation,build_rss_delta_bytes,build_max_rss_bytes,query_cpu_seconds,query_cpu_utilisation,query_rss_delta_bytes,query_max_rss_bytes
1,PCCT (Numba),0.007375973014859483,0.31844433785189774,40.44980688020587,0.4154334460035898,0.437576975004049,53.145559999999996,1.3138103605043523,548896768,2102935552,10.713871,24.483310239415538,16384,2102935552
1,GPBoost CoverTree,2.6765312160132453,2.6765312160132453,2.6765312160132453,20.108826528012287,20.108826528012287,24.843652999999993,9.281621394209514,5836800,2102935552,201.274071,10.009191715781203,0,2102935552
2,PCCT (Numba),0.002504903997760266,0.31771328340249694,40.35209189611487,0.44024441301007755,0.4649909100262448,53.127161,1.3165381912524257,421888000,2121072640,10.834503999999981,23.298868761084805,12288,2121072640
2,GPBoost CoverTree,2.4062800490064546,2.4062800490064546,2.4062800490064546,20.1021565280098,20.1021565280098,21.88203900000002,9.093317496118322,4096,2121072640,200.050526,9.95164383861602,-13500416,2121072640
3,PCCT (Numba),0.0025445979845244437,0.3170258163613832,40.26482327588019,0.37950917100533843,0.420530105009675,53.132829000000015,1.3195322655618413,429944832,2182795264,10.709670000000017,25.466015211792868,4096,2182795264
3,GPBoost CoverTree,2.4571824230079073,2.4571824230079073,2.4571824230079073,20.350348962994758,20.350348962994758,24.413615999999934,9.93522349693647,4096,2182795264,201.71833800000002,9.912232345269192,-9420800,2182795264
4,PCCT (Numba),0.0023755629954393953,0.31586816638417536,40.11763269378571,0.38634364400058985,0.45026311799301766,52.94584299999997,1.3197142175707937,347963392,2182795264,10.88153699999998,24.165485069532163,0,2182795264
4,GPBoost CoverTree,2.473997129010968,2.473997129010968,2.473997129010968,20.146870323020266,20.146870323020266,24.360920999999962,9.846316610760564,4096,2182795264,200.53757599999994,9.953739421001586,-6291456,2182795264
5,PCCT (Numba),0.0022827789944130927,0.3158454518514506,40.114655164128635,0.47895574700669385,0.3956809980154503,52.825422,1.316813511620712,339963904,2182795264,10.533612000000176,26.61967454664885,0,2182795264
5,GPBoost CoverTree,2.451243360992521,2.451243360992521,2.451243360992521,20.32675762398867,20.32675762398867,23.17202199999997,9.452759927951734,0,2182795264,201.68230699999992,9.921966103157958,0,2182795264
